Date,S&P 500,,,,,,,,
20/1/17,667.96,,,,,,,,
23/1/17,668.4,,,,,,,,
24/1/17,673.85,,,,,,,,
25/1/17,677.79,,,,,,,,
26/1/17,679.36,,,,,,,,
27/1/17,677.34,,,,,,,,
30/1/17,676.79,,,,,,,,
31/1/17,674.91,,,,,,,,
1/2/17,673.74,,,,,,,,
2/2/17,673.23,,,,,,,,
3/2/17,672.5,,,,,,,,
6/2/17,670.47,,,,,,,,
7/2/17,669.55,,,,,,,,
8/2/17,673.67,,,,,,,,
9/2/17,678.28,,,,,,,,
10/2/17,681.97,,,,,,,,
13/2/17,682.67,,,,,,,,
14/2/17,686.68,,,,,,,,
15/2/17,690.14,,,,,,,,
16/2/17,687.08,,,,,,,,
17/2/17,689.08,,,,,,,,
21/2/17,693.21,,,,,,,,
22/2/17,693.37,,,,,,,,
23/2/17,688.5,,,,,,,,
24/2/17,691.43,,,,,,,,
27/2/17,691.68,,,,,,,,
28/2/17,687.21,,,,,,,,
1/3/17,694.13,,,,,,,,
2/3/17,693.1,,,,,,,,
3/3/17,691.63,,,,,,,,
6/3/17,689.23,,,,,,,,
7/3/17,686.96,,,,,,,,
8/3/17,689.11,,,,,,,,
9/3/17,688.89,,,,,,,,
10/3/17,689.82,,,,,,,,
13/3/17,691.2,,,,,,,,
14/3/17,691.34,,,,,,,,
15/3/17,694.85,,,,,,,,
16/3/17,695.19,,,,,,,,
17/3/17,695.82,,,,,,,,
20/3/17,694.1,,,,,,,,
21/3/17,685.5,,,,,,,,
22/3/17,686.33,,,,,,,,
23/3/17,687.64,,,,,,,,
24/3/17,688.82,,,,,,,,
27/3/17,688.96,,,,,,,,
28/3/17,694.25,,,,,,,,
29/3/17,698.17,,,,,,,,
30/3/17,700.06,,,,,,,,
31/3/17,700.24,,,,,,,,
3/4/17,697.05,,,,,,,,
4/4/17,696.06,,,,,,,,
5/4/17,694.5,,,,,,,,
6/4/17,696.97,,,,,,,,
7/4/17,694.52,,,,,,,,
10/4/17,696.99,,,,,,,,
11/4/17,696.64,,,,,,,,
12/4/17,693.85,,,,,,,,
13/4/17,689.3,,,,,,,,
17/4/17,695.86,,,,,,,,
18/4/17,696.15,,,,,,,,
19/4/17,696.82,,,,,,,,
20/4/17,703.77,,,,,,,,
21/4/17,702.34,,,,,,,,
24/4/17,706.6,,,,,,,,
25/4/17,712.33,,,,,,,,
26/4/17,715.89,,,,,,,,
27/4/17,719.81,,,,,,,,
28/4/17,716.73,,,,,,,,
1/5/17,717.23,,,,,,,,
2/5/17,718.55,,,,,,,,
3/5/17,714.31,,,,,,,,
4/5/17,713.53,,,,,,,,
5/5/17,717.5,,,,,,,,
8/5/17,719.29,,,,,,,,
9/5/17,722.76,,,,,,,,
10/5/17,720.76,,,,,,,,
11/5/17,716.46,,,,,,,,
12/5/17,715.16,,,,,,,,
15/5/17,715.06,,,,,,,,
16/5/17,712.73,,,,,,,,
17/5/17,701.27,,,,,,,,
18/5/17,705.45,,,,,,,,
19/5/17,709.57,,,,,,,,
22/5/17,713.44,,,,,,,,
23/5/17,710.56,,,,,,,,
24/5/17,713.07,,,,,,,,
25/5/17,719.7,,,,,,,,
26/5/17,721.91,,,,,,,,
30/5/17,721.98,,,,,,,,
31/5/17,723.76,,,,,,,,
1/6/17,730,,,,,,,,
2/6/17,732.96,,,,,,,,
5/6/17,730.52,,,,,,,,
6/6/17,724.44,,,,,,,,
7/6/17,725.93,,,,,,,,
8/6/17,721.22,,,,,,,,
9/6/17,718.11,,,,,,,,
12/6/17,717.34,,,,,,,,
13/6/17,721.66,,,,,,,,
14/6/17,721.19,,,,,,,,
15/6/17,717.96,,,,,,,,
16/6/17,717.76,,,,,,,,
19/6/17,723.58,,,,,,,,
20/6/17,714.52,,,,,,,,
21/6/17,715.28,,,,,,,,
22/6/17,713.99,,,,,,,,
23/6/17,713.32,,,,,,,,
26/6/17,715.34,,,,,,,,
27/6/17,710.02,,,,,,,,
28/6/17,717.03,,,,,,,,
29/6/17,710.09,,,,,,,,
30/6/17,714.06,,,,,,,,
3/7/17,712.74,,,,,,,,
5/7/17,711.01,,,,,,,,
6/7/17,703.68,,,,,,,,
7/7/17,709.49,,,,,,,,
10/7/17,711.06,,,,,,,,
11/7/17,709.66,,,,,,,,
12/7/17,714.97,,,,,,,,
13/7/17,715.53,,,,,,,,
14/7/17,717.53,,,,,,,,
17/7/17,719.36,,,,,,,,
18/7/17,722.36,,,,,,,,
19/7/17,726.04,,,,,,,,
20/7/17,724.14,,,,,,,,
21/7/17,724.96,,,,,,,,
24/7/17,722.24,,,,,,,,
25/7/17,727.59,,,,,,,,
26/7/17,727.46,,,,,,,,
27/7/17,732.53,,,,,,,,
28/7/17,727.11,,,,,,,,
31/7/17,726.65,,,,,,,,
1/8/17,728.23,,,,,,,,
2/8/17,726.31,,,,,,,,
3/8/17,724.15,,,,,,,,
4/8/17,724.33,,,,,,,,
7/8/17,725.68,,,,,,,,
8/8/17,725.37,,,,,,,,
9/8/17,721.96,,,,,,,,
10/8/17,710.99,,,,,,,,
11/8/17,714.66,,,,,,,,
14/8/17,719.57,,,,,,,,
15/8/17,713.1,,,,,,,,
16/8/17,716.31,,,,,,,,
17/8/17,705.1,,,,,,,,
18/8/17,701.68,,,,,,,,
21/8/17,702.98,,,,,,,,
22/8/17,710.33,,,,,,,,
23/8/17,704.37,,,,,,,,
24/8/17,702.58,,,,,,,,
25/8/17,704.38,,,,,,,,
28/8/17,705.05,,,,,,,,
29/8/17,703.71,,,,,,,,
30/8/17,708.61,,,,,,,,
31/8/17,712.13,,,,,,,,
1/9/17,715.39,,,,,,,,
5/9/17,712.46,,,,,,,,
6/9/17,716.39,,,,,,,,
7/9/17,710.29,,,,,,,,
8/9/17,707.77,,,,,,,,
11/9/17,711.56,,,,,,,,
12/9/17,714.66,,,,,,,,
13/9/17,719.79,,,,,,,,
14/9/17,715.87,,,,,,,,
15/9/17,714.22,,,,,,,,
18/9/17,711.19,,,,,,,,
19/9/17,710.84,,,,,,,,
20/9/17,713.34,,,,,,,,
21/9/17,711.62,,,,,,,,
22/9/17,713.19,,,,,,,,
25/9/17,711.75,,,,,,,,
26/9/17,711.33,,,,,,,,
27/9/17,715.15,,,,,,,,
28/9/17,714.83,,,,,,,,
29/9/17,717.47,,,,,,,,
2/10/17,718.76,,,,,,,,
3/10/17,721.37,,,,,,,,
4/10/17,725.17,,,,,,,,
5/10/17,729.24,,,,,,,,
6/10/17,730.37,,,,,,,,
9/10/17,727.8,,,,,,,,
10/10/17,727.01,,,,,,,,
11/10/17,727.53,,,,,,,,
12/10/17,722.7,,,,,,,,
13/10/17,725.85,,,,,,,,
16/10/17,727.18,,,,,,,,
17/10/17,727.45,,,,,,,,
18/10/17,725.6,,,,,,,,
19/10/17,725.53,,,,,,,,
20/10/17,727.03,,,,,,,,
23/10/17,722.01,,,,,,,,
24/10/17,724.01,,,,,,,,
25/10/17,721.24,,,,,,,,
26/10/17,723.6,,,,,,,,
27/10/17,735.17,,,,,,,,
30/10/17,732.3,,,,,,,,
31/10/17,731.97,,,,,,,,
1/11/17,732.48,,,,,,,,
2/11/17,726.86,,,,,,,,
3/11/17,729.51,,,,,,,,
6/11/17,734.88,,,,,,,,
7/11/17,730.82,,,,,,,,
8/11/17,731.24,,,,,,,,
9/11/17,732.45,,,,,,,,
10/11/17,734.96,,,,,,,,
13/11/17,737.31,,,,,,,,
14/11/17,738.04,,,,,,,,
15/11/17,734.76,,,,,,,,
16/11/17,740.68,,,,,,,,
17/11/17,744.25,,,,,,,,
20/11/17,745.47,,,,,,,,
21/11/17,749.96,,,,,,,,
22/11/17,750.73,,,,,,,,
24/11/17,752.31,,,,,,,,
27/11/17,752.9,,,,,,,,
28/11/17,761.08,,,,,,,,
29/11/17,764.4,,,,,,,,
30/11/17,767.82,,,,,,,,
1/12/17,767.92,,,,,,,,
4/12/17,776.75,,,,,,,,
5/12/17,772.1,,,,,,,,
6/12/17,766.79,,,,,,,,
7/12/17,768.58,,,,,,,,
8/12/17,771.92,,,,,,,,
11/12/17,773.85,,,,,,,,
12/12/17,774.04,,,,,,,,
13/12/17,774.48,,,,,,,,
14/12/17,776.6,,,,,,,,
15/12/17,780.76,,,,,,,,
18/12/17,786.97,,,,,,,,
19/12/17,786.3,,,,,,,,
20/12/17,784.76,,,,,,,,
21/12/17,789.68,,,,,,,,
22/12/17,788.32,,,,,,,,
26/12/17,790.11,,,,,,,,
27/12/17,788.59,,,,,,,,
