Date,S&P 500,,,,,,,,
20/1/17,547.41,,,,,,,,
23/1/17,541.29,,,,,,,,
24/1/17,546.61,,,,,,,,
25/1/17,549.68,,,,,,,,
26/1/17,549.61,,,,,,,,
27/1/17,544.42,,,,,,,,
30/1/17,534.86,,,,,,,,
31/1/17,534.34,,,,,,,,
1/2/17,530.33,,,,,,,,
2/2/17,533.45,,,,,,,,
3/2/17,538.04,,,,,,,,
6/2/17,533.27,,,,,,,,
7/2/17,525.95,,,,,,,,
8/2/17,525.58,,,,,,,,
9/2/17,530.46,,,,,,,,
10/2/17,534.42,,,,,,,,
13/2/17,534.57,,,,,,,,
14/2/17,535.25,,,,,,,,
15/2/17,533.36,,,,,,,,
16/2/17,526.07,,,,,,,,
17/2/17,523.3,,,,,,,,
21/2/17,526.88,,,,,,,,
22/2/17,518.55,,,,,,,,
23/2/17,521.17,,,,,,,,
24/2/17,516.53,,,,,,,,
27/2/17,521.01,,,,,,,,
28/2/17,519.74,,,,,,,,
1/3/17,530.4,,,,,,,,
2/3/17,525.9,,,,,,,,
3/3/17,523.98,,,,,,,,
6/3/17,525.53,,,,,,,,
7/3/17,520.78,,,,,,,,
8/3/17,507.54,,,,,,,,
9/3/17,510.54,,,,,,,,
10/3/17,510.15,,,,,,,,
13/3/17,510.37,,,,,,,,
14/3/17,504.73,,,,,,,,
15/3/17,515.23,,,,,,,,
16/3/17,512.24,,,,,,,,
17/3/17,511.82,,,,,,,,
20/3/17,511.18,,,,,,,,
21/3/17,507.58,,,,,,,,
22/3/17,507.05,,,,,,,,
23/3/17,505.24,,,,,,,,
24/3/17,502.92,,,,,,,,
27/3/17,500.87,,,,,,,,
28/3/17,507.32,,,,,,,,
29/3/17,513.51,,,,,,,,
30/3/17,515.92,,,,,,,,
31/3/17,514.01,,,,,,,,
3/4/17,513.13,,,,,,,,
4/4/17,516.78,,,,,,,,
5/4/17,515.04,,,,,,,,
6/4/17,519.14,,,,,,,,
7/4/17,517.13,,,,,,,,
10/4/17,521.12,,,,,,,,
11/4/17,520.68,,,,,,,,
12/4/17,518.9,,,,,,,,
13/4/17,509.4,,,,,,,,
17/4/17,510.38,,,,,,,,
18/4/17,505.94,,,,,,,,
19/4/17,498.72,,,,,,,,
20/4/17,500.67,,,,,,,,
21/4/17,498.53,,,,,,,,
24/4/17,501.23,,,,,,,,
25/4/17,505.94,,,,,,,,
26/4/17,503.91,,,,,,,,
27/4/17,498.31,,,,,,,,
28/4/17,498.95,,,,,,,,
1/5/17,497.84,,,,,,,,
2/5/17,495.37,,,,,,,,
3/5/17,496.99,,,,,,,,
4/5/17,487.54,,,,,,,,
5/5/17,495.45,,,,,,,,
8/5/17,498.95,,,,,,,,
9/5/17,494.67,,,,,,,,
10/5/17,499.94,,,,,,,,
11/5/17,498.94,,,,,,,,
12/5/17,497.35,,,,,,,,
15/5/17,500.45,,,,,,,,
16/5/17,498.24,,,,,,,,
17/5/17,492.61,,,,,,,,
18/5/17,492.05,,,,,,,,
19/5/17,498.15,,,,,,,,
22/5/17,497.31,,,,,,,,
23/5/17,498.13,,,,,,,,
24/5/17,495.96,,,,,,,,
25/5/17,487.09,,,,,,,,
26/5/17,487.49,,,,,,,,
30/5/17,481.11,,,,,,,,
31/5/17,479.19,,,,,,,,
1/6/17,482.37,,,,,,,,
2/6/17,476.67,,,,,,,,
5/6/17,477.46,,,,,,,,
6/6/17,483.2,,,,,,,,
7/6/17,476.05,,,,,,,,
8/6/17,474.73,,,,,,,,
9/6/17,486.49,,,,,,,,
12/6/17,489.77,,,,,,,,
13/6/17,493.02,,,,,,,,
14/6/17,483.99,,,,,,,,
15/6/17,480.7,,,,,,,,
16/6/17,488.95,,,,,,,,
19/6/17,485.6,,,,,,,,
20/6/17,479.55,,,,,,,,
21/6/17,471.88,,,,,,,,
22/6/17,471.28,,,,,,,,
23/6/17,474.83,,,,,,,,
26/6/17,473.69,,,,,,,,
27/6/17,472.88,,,,,,,,
28/6/17,475.57,,,,,,,,
29/6/17,476.16,,,,,,,,
30/6/17,477.91,,,,,,,,
3/7/17,487.49,,,,,,,,
5/7/17,477.67,,,,,,,,
6/7/17,472.4,,,,,,,,
7/7/17,471.95,,,,,,,,
10/7/17,473.2,,,,,,,,
11/7/17,475.69,,,,,,,,
12/7/17,477.09,,,,,,,,
13/7/17,479.19,,,,,,,,
14/7/17,481.78,,,,,,,,
17/7/17,481.13,,,,,,,,
18/7/17,478.78,,,,,,,,
19/7/17,485.46,,,,,,,,
20/7/17,483.72,,,,,,,,
21/7/17,479.45,,,,,,,,
24/7/17,478.03,,,,,,,,
25/7/17,484.07,,,,,,,,
26/7/17,484.56,,,,,,,,
27/7/17,489.38,,,,,,,,
28/7/17,488.44,,,,,,,,
31/7/17,489.57,,,,,,,,
1/8/17,489.87,,,,,,,,
2/8/17,488.33,,,,,,,,
3/8/17,481.77,,,,,,,,
4/8/17,483.44,,,,,,,,
7/8/17,479.27,,,,,,,,
8/8/17,478.67,,,,,,,,
9/8/17,479.23,,,,,,,,
10/8/17,472.82,,,,,,,,
11/8/17,469.55,,,,,,,,
14/8/17,468.29,,,,,,,,
15/8/17,466.44,,,,,,,,
16/8/17,461.18,,,,,,,,
17/8/17,454.52,,,,,,,,
18/8/17,457.09,,,,,,,,
21/8/17,454.57,,,,,,,,
22/8/17,457.72,,,,,,,,
23/8/17,459.47,,,,,,,,
24/8/17,459.39,,,,,,,,
25/8/17,461.78,,,,,,,,
28/8/17,459.61,,,,,,,,
29/8/17,459.06,,,,,,,,
30/8/17,459.21,,,,,,,,
31/8/17,461.61,,,,,,,,
1/9/17,465.36,,,,,,,,
5/9/17,467.98,,,,,,,,
6/9/17,475.65,,,,,,,,
7/9/17,476.48,,,,,,,,
8/9/17,471.43,,,,,,,,
11/9/17,476.23,,,,,,,,
12/9/17,478.7,,,,,,,,
13/9/17,484.63,,,,,,,,
14/9/17,486.5,,,,,,,,
15/9/17,487.76,,,,,,,,
18/9/17,489.89,,,,,,,,
19/9/17,491.73,,,,,,,,
20/9/17,495.11,,,,,,,,
21/9/17,494.78,,,,,,,,
22/9/17,497.41,,,,,,,,
25/9/17,504.74,,,,,,,,
26/9/17,503.77,,,,,,,,
27/9/17,506.17,,,,,,,,
28/9/17,506.93,,,,,,,,
29/9/17,506.72,,,,,,,,
2/10/17,506.63,,,,,,,,
3/10/17,506.21,,,,,,,,
4/10/17,505.89,,,,,,,,
5/10/17,507.94,,,,,,,,
6/10/17,503.79,,,,,,,,
9/10/17,505.05,,,,,,,,
10/10/17,505.57,,,,,,,,
11/10/17,506.78,,,,,,,,
12/10/17,504.87,,,,,,,,
13/10/17,504.51,,,,,,,,
16/10/17,505.61,,,,,,,,
17/10/17,506.03,,,,,,,,
18/10/17,502.5,,,,,,,,
19/10/17,500.93,,,,,,,,
20/10/17,502.26,,,,,,,,
23/10/17,499.32,,,,,,,,
24/10/17,500.67,,,,,,,,
25/10/17,497.25,,,,,,,,
26/10/17,498.46,,,,,,,,
27/10/17,499.45,,,,,,,,
30/10/17,501.26,,,,,,,,
31/10/17,503.07,,,,,,,,
1/11/17,508.54,,,,,,,,
2/11/17,506.96,,,,,,,,
3/11/17,508.14,,,,,,,,
6/11/17,519.33,,,,,,,,
7/11/17,518.41,,,,,,,,
8/11/17,516.35,,,,,,,,
9/11/17,517.84,,,,,,,,
10/11/17,513.67,,,,,,,,
13/11/17,510.88,,,,,,,,
14/11/17,503,,,,,,,,
15/11/17,497.09,,,,,,,,
16/11/17,494.2,,,,,,,,
17/11/17,496.33,,,,,,,,
20/11/17,495.3,,,,,,,,
21/11/17,496.41,,,,,,,,
22/11/17,498.58,,,,,,,,
24/11/17,499.94,,,,,,,,
27/11/17,494.8,,,,,,,,
28/11/17,498.87,,,,,,,,
29/11/17,501.51,,,,,,,,
30/11/17,509.28,,,,,,,,
1/12/17,513.33,,,,,,,,
4/12/17,513.18,,,,,,,,
5/12/17,510.46,,,,,,,,
6/12/17,503.88,,,,,,,,
7/12/17,505.47,,,,,,,,
8/12/17,509.77,,,,,,,,
11/12/17,513.4,,,,,,,,
12/12/17,511.74,,,,,,,,
13/12/17,511.04,,,,,,,,
14/12/17,509.38,,,,,,,,
15/12/17,509.24,,,,,,,,
18/12/17,512.76,,,,,,,,
19/12/17,513.32,,,,,,,,
20/12/17,520.38,,,,,,,,
21/12/17,531.21,,,,,,,,
22/12/17,532.36,,,,,,,,
26/12/17,536.75,,,,,,,,
27/12/17,535.03,,,,,,,,
28/12/17,535.52,,,,,,,,
29/12/17,533.41,,,,,,,,
2/1/18,542.93,,,,,,,,
3/1/18,551.22,,,,,,,,
4/1/18,554.51,,,,,,,,
5/1/18,554.41,,,,,,,,
8/1/18,557.64,,,,,,,,
9/1/18,555.87,,,,,,,,
10/1/18,555.32,,,,,,,,
11/1/18,566.56,,,,,,,,
12/1/18,572.02,,,,,,,,
16/1/18,564.96,,,,,,,,
17/1/18,569.78,,,,,,,,
18/1/18,565.24,,,,,,,,
19/1/18,564.66,,,,,,,,
22/1/18,576.52,,,,,,,,
23/1/18,575.64,,,,,,,,
24/1/18,574.21,,,,,,,,
25/1/18,569.76,,,,,,,,
26/1/18,573.24,,,,,,,,
29/1/18,564.37,,,,,,,,
30/1/18,552.97,,,,,,,,
31/1/18,553.45,,,,,,,,
1/2/18,559.54,,,,,,,,
2/2/18,536.43,,,,,,,,
5/2/18,513.07,,,,,,,,
6/2/18,516.52,,,,,,,,
7/2/18,507.9,,,,,,,,
8/2/18,492.78,,,,,,,,
9/2/18,491.04,,,,,,,,
12/2/18,499.15,,,,,,,,
13/2/18,496.92,,,,,,,,
14/2/18,503.89,,,,,,,,
15/2/18,501.76,,,,,,,,
16/2/18,500.52,,,,,,,,
20/2/18,497.69,,,,,,,,
21/2/18,489.44,,,,,,,,
22/2/18,494.73,,,,,,,,
23/2/18,505.59,,,,,,,,
26/2/18,508.91,,,,,,,,
27/2/18,502.15,,,,,,,,
28/2/18,490.67,,,,,,,,
1/3/18,489.87,,,,,,,,
2/3/18,491.86,,,,,,,,
5/3/18,497.11,,,,,,,,
6/3/18,497.31,,,,,,,,
7/3/18,493.18,,,,,,,,
8/3/18,492.6,,,,,,,,
9/3/18,502.18,,,,,,,,
12/3/18,501.89,,,,,,,,
13/3/18,498.27,,,,,,,,
14/3/18,495.04,,,,,,,,
15/3/18,492.95,,,,,,,,
16/3/18,497.93,,,,,,,,
19/3/18,489.5,,,,,,,,
20/3/18,493.61,,,,,,,,
21/3/18,506.58,,,,,,,,
22/3/18,496.27,,,,,,,,
23/3/18,493.31,,,,,,,,
26/3/18,502.07,,,,,,,,
27/3/18,497.67,,,,,,,,
28/3/18,487.78,,,,,,,,
29/3/18,498.29,,,,,,,,
2/4/18,488.35,,,,,,,,
3/4/18,498.79,,,,,,,,
