Date,S&P 500,,,,,,,,
20/1/17,807.33,,,,,,,,
23/1/17,803.72,,,,,,,,
24/1/17,798.49,,,,,,,,
25/1/17,805.39,,,,,,,,
26/1/17,799.68,,,,,,,,
27/1/17,806.11,,,,,,,,
30/1/17,802.77,,,,,,,,
31/1/17,814.06,,,,,,,,
1/2/17,819.85,,,,,,,,
2/2/17,820.89,,,,,,,,
3/2/17,825.74,,,,,,,,
6/2/17,825.35,,,,,,,,
7/2/17,826.09,,,,,,,,
8/2/17,824.93,,,,,,,,
9/2/17,828.53,,,,,,,,
10/2/17,829.52,,,,,,,,
13/2/17,834.87,,,,,,,,
14/2/17,840.97,,,,,,,,
15/2/17,850.8,,,,,,,,
16/2/17,849.58,,,,,,,,
17/2/17,850.54,,,,,,,,
21/2/17,854.53,,,,,,,,
22/2/17,853.32,,,,,,,,
23/2/17,859.65,,,,,,,,
24/2/17,863.34,,,,,,,,
27/2/17,866.68,,,,,,,,
28/2/17,864.61,,,,,,,,
1/3/17,873.61,,,,,,,,
2/3/17,871.6,,,,,,,,
3/3/17,875.04,,,,,,,,
6/3/17,871.16,,,,,,,,
7/3/17,865.34,,,,,,,,
8/3/17,868.01,,,,,,,,
9/3/17,873.21,,,,,,,,
10/3/17,876.38,,,,,,,,
13/3/17,875.03,,,,,,,,
14/3/17,872.18,,,,,,,,
15/3/17,882.5,,,,,,,,
16/3/17,874.58,,,,,,,,
17/3/17,869.94,,,,,,,,
20/3/17,868.11,,,,,,,,
21/3/17,861.29,,,,,,,,
22/3/17,861.95,,,,,,,,
23/3/17,858.81,,,,,,,,
24/3/17,858.59,,,,,,,,
27/3/17,861.71,,,,,,,,
28/3/17,862.17,,,,,,,,
29/3/17,862.1,,,,,,,,
30/3/17,862.06,,,,,,,,
31/3/17,859.75,,,,,,,,
3/4/17,860.53,,,,,,,,
4/4/17,860.1,,,,,,,,
5/4/17,857.22,,,,,,,,
6/4/17,858.35,,,,,,,,
7/4/17,859.9,,,,,,,,
10/4/17,858.52,,,,,,,,
11/4/17,856.99,,,,,,,,
12/4/17,857.23,,,,,,,,
13/4/17,854.9,,,,,,,,
17/4/17,857.55,,,,,,,,
18/4/17,848.88,,,,,,,,
19/4/17,851.13,,,,,,,,
20/4/17,855.83,,,,,,,,
21/4/17,851.57,,,,,,,,
24/4/17,859.64,,,,,,,,
25/4/17,863.61,,,,,,,,
26/4/17,867.95,,,,,,,,
27/4/17,870.21,,,,,,,,
28/4/17,872.26,,,,,,,,
1/5/17,873.55,,,,,,,,
2/5/17,876.26,,,,,,,,
3/5/17,872.94,,,,,,,,
4/5/17,878.11,,,,,,,,
5/5/17,877.59,,,,,,,,
8/5/17,872.57,,,,,,,,
9/5/17,873.25,,,,,,,,
10/5/17,870.32,,,,,,,,
11/5/17,870.79,,,,,,,,
12/5/17,869.16,,,,,,,,
15/5/17,874.29,,,,,,,,
16/5/17,870.89,,,,,,,,
17/5/17,859.85,,,,,,,,
18/5/17,863.41,,,,,,,,
19/5/17,865.83,,,,,,,,
22/5/17,867.87,,,,,,,,
23/5/17,870.89,,,,,,,,
24/5/17,872.96,,,,,,,,
25/5/17,876.9,,,,,,,,
26/5/17,875.05,,,,,,,,
30/5/17,873.78,,,,,,,,
31/5/17,877.55,,,,,,,,
1/6/17,887.94,,,,,,,,
2/6/17,893.13,,,,,,,,
5/6/17,890.51,,,,,,,,
6/6/17,887.92,,,,,,,,
7/6/17,890.36,,,,,,,,
8/6/17,888.52,,,,,,,,
9/6/17,894.13,,,,,,,,
12/6/17,892.94,,,,,,,,
13/6/17,894.09,,,,,,,,
14/6/17,898.22,,,,,,,,
15/6/17,897.33,,,,,,,,
16/6/17,898.6,,,,,,,,
19/6/17,908.29,,,,,,,,
20/6/17,911.31,,,,,,,,
21/6/17,922.48,,,,,,,,
22/6/17,932.2,,,,,,,,
23/6/17,931.36,,,,,,,,
26/6/17,929.87,,,,,,,,
27/6/17,921.32,,,,,,,,
28/6/17,926.16,,,,,,,,
29/6/17,917.95,,,,,,,,
30/6/17,916.93,,,,,,,,
3/7/17,918.32,,,,,,,,
5/7/17,923.3,,,,,,,,
6/7/17,911.36,,,,,,,,
7/7/17,916.54,,,,,,,,
