Date,S&P 500,,,,,,,,
20/1/17,835.97,,,,,,,,
23/1/17,836.5,,,,,,,,
24/1/17,845.11,,,,,,,,
25/1/17,854.17,,,,,,,,
26/1/17,852.39,,,,,,,,
27/1/17,855.21,,,,,,,,
30/1/17,848.2,,,,,,,,
31/1/17,843.03,,,,,,,,
1/2/17,849.35,,,,,,,,
2/2/17,849.56,,,,,,,,
3/2/17,855.35,,,,,,,,
6/2/17,856.55,,,,,,,,
7/2/17,860.08,,,,,,,,
8/2/17,861.51,,,,,,,,
9/2/17,863.97,,,,,,,,
10/2/17,865.88,,,,,,,,
13/2/17,871.5,,,,,,,,
14/2/17,873.98,,,,,,,,
15/2/17,877.44,,,,,,,,
16/2/17,879.29,,,,,,,,
17/2/17,881.48,,,,,,,,
21/2/17,886.09,,,,,,,,
22/2/17,887.51,,,,,,,,
23/2/17,886.52,,,,,,,,
24/2/17,888.27,,,,,,,,
27/2/17,887.66,,,,,,,,
28/2/17,884.05,,,,,,,,
1/3/17,897.1,,,,,,,,
2/3/17,891.06,,,,,,,,
3/3/17,892.74,,,,,,,,
6/3/17,891.28,,,,,,,,
7/3/17,892.58,,,,,,,,
8/3/17,893.48,,,,,,,,
9/3/17,892.96,,,,,,,,
10/3/17,897.57,,,,,,,,
13/3/17,898.61,,,,,,,,
14/3/17,896.32,,,,,,,,
15/3/17,901.71,,,,,,,,
16/3/17,903.8,,,,,,,,
17/3/17,904.38,,,,,,,,
20/3/17,905.31,,,,,,,,
21/3/17,891.97,,,,,,,,
22/3/17,899.07,,,,,,,,
23/3/17,896.17,,,,,,,,
24/3/17,896.61,,,,,,,,
27/3/17,897.53,,,,,,,,
28/3/17,903.95,,,,,,,,
29/3/17,905.81,,,,,,,,
30/3/17,907.12,,,,,,,,
31/3/17,906.21,,,,,,,,
3/4/17,904.89,,,,,,,,
4/4/17,904.82,,,,,,,,
5/4/17,901.95,,,,,,,,
6/4/17,901.54,,,,,,,,
7/4/17,900.93,,,,,,,,
10/4/17,899.57,,,,,,,,
11/4/17,895.64,,,,,,,,
12/4/17,892.07,,,,,,,,
13/4/17,888.68,,,,,,,,
17/4/17,897.33,,,,,,,,
18/4/17,896.64,,,,,,,,
19/4/17,895.94,,,,,,,,
20/4/17,904.7,,,,,,,,
21/4/17,904.64,,,,,,,,
24/4/17,916.39,,,,,,,,
25/4/17,922.11,,,,,,,,
26/4/17,919.71,,,,,,,,
27/4/17,925.25,,,,,,,,
28/4/17,928.33,,,,,,,,
1/5/17,936.19,,,,,,,,
2/5/17,939.04,,,,,,,,
3/5/17,937.79,,,,,,,,
4/5/17,938.05,,,,,,,,
5/5/17,940.98,,,,,,,,
8/5/17,944.92,,,,,,,,
9/5/17,946.36,,,,,,,,
10/5/17,949.98,,,,,,,,
11/5/17,948.56,,,,,,,,
12/5/17,951.57,,,,,,,,
15/5/17,956.88,,,,,,,,
16/5/17,961.62,,,,,,,,
17/5/17,934.74,,,,,,,,
18/5/17,940.2,,,,,,,,
19/5/17,944.86,,,,,,,,
22/5/17,953.85,,,,,,,,
23/5/17,954.61,,,,,,,,
24/5/17,959.16,,,,,,,,
25/5/17,966.67,,,,,,,,
26/5/17,966.77,,,,,,,,
30/5/17,969.77,,,,,,,,
31/5/17,966.84,,,,,,,,
1/6/17,969.59,,,,,,,,
2/6/17,979.69,,,,,,,,
5/6/17,980.4,,,,,,,,
6/6/17,978.62,,,,,,,,
7/6/17,981.24,,,,,,,,
8/6/17,984.72,,,,,,,,
9/6/17,957.79,,,,,,,,
12/6/17,949.99,,,,,,,,
13/6/17,958.08,,,,,,,,
14/6/17,953.01,,,,,,,,
15/6/17,948.43,,,,,,,,
16/6/17,946.68,,,,,,,,
19/6/17,962.37,,,,,,,,
20/6/17,954.87,,,,,,,,
21/6/17,961.3,,,,,,,,
22/6/17,961.75,,,,,,,,
23/6/17,968.18,,,,,,,,
26/6/17,962.45,,,,,,,,
27/6/17,946.39,,,,,,,,
28/6/17,958.9,,,,,,,,
29/6/17,941.33,,,,,,,,
30/6/17,940.28,,,,,,,,
3/7/17,932.29,,,,,,,,
5/7/17,941.97,,,,,,,,
6/7/17,933.87,,,,,,,,
7/7/17,945.57,,,,,,,,
10/7/17,953.28,,,,,,,,
11/7/17,956.67,,,,,,,,
12/7/17,969.19,,,,,,,,
13/7/17,972.39,,,,,,,,
14/7/17,981.08,,,,,,,,
17/7/17,981.52,,,,,,,,
18/7/17,986.79,,,,,,,,
19/7/17,992.29,,,,,,,,
20/7/17,992.71,,,,,,,,
21/7/17,991.97,,,,,,,,
24/7/17,994.48,,,,,,,,
25/7/17,992.74,,,,,,,,
26/7/17,994.72,,,,,,,,
27/7/17,986.55,,,,,,,,
28/7/17,985.67,,,,,,,,
31/7/17,980.4,,,,,,,,
1/8/17,985.56,,,,,,,,
2/8/17,990.35,,,,,,,,
3/8/17,986.91,,,,,,,,
4/8/17,989.57,,,,,,,,
7/8/17,995.36,,,,,,,,
8/8/17,994.04,,,,,,,,
9/8/17,994.37,,,,,,,,
10/8/17,972.66,,,,,,,,
