DATE,SP500
20/1/17,2271.31
23/1/17,2265.2
24/1/17,2280.07
25/1/17,2298.37
26/1/17,2296.68
27/1/17,2294.69
30/1/17,2280.9
31/1/17,2278.87
1/2/17,2279.55
2/2/17,2280.85
3/2/17,2297.42
6/2/17,2292.56
7/2/17,2293.08
8/2/17,2294.67
9/2/17,2307.87
10/2/17,2316.1
13/2/17,2328.25
14/2/17,2337.58
15/2/17,2349.25
16/2/17,2347.22
17/2/17,2351.16
20/2/17,.
21/2/17,2365.38
22/2/17,2362.82
23/2/17,2363.81
24/2/17,2367.34
27/2/17,2369.75
28/2/17,2363.64
1/3/17,2395.96
2/3/17,2381.92
3/3/17,2383.12
6/3/17,2375.31
7/3/17,2368.39
8/3/17,2362.98
9/3/17,2364.87
10/3/17,2372.6
13/3/17,2373.47
14/3/17,2365.45
15/3/17,2385.26
16/3/17,2381.38
17/3/17,2378.25
20/3/17,2373.47
21/3/17,2344.02
22/3/17,2348.45
23/3/17,2345.96
24/3/17,2343.98
27/3/17,2341.59
28/3/17,2358.57
29/3/17,2361.13
30/3/17,2368.06
31/3/17,2362.72
3/4/17,2358.84
4/4/17,2360.16
5/4/17,2352.95
6/4/17,2357.49
7/4/17,2355.54
10/4/17,2357.16
11/4/17,2353.78
12/4/17,2344.93
13/4/17,2328.95
14/4/17,.
17/4/17,2349.01
18/4/17,2342.19
19/4/17,2338.17
20/4/17,2355.84
21/4/17,2348.69
24/4/17,2374.15
25/4/17,2388.61
26/4/17,2387.45
27/4/17,2388.77
28/4/17,2384.2
1/5/17,2388.33
2/5/17,2391.17
3/5/17,2388.13
4/5/17,2389.52
5/5/17,2399.29
8/5/17,2399.38
9/5/17,2396.92
10/5/17,2399.63
11/5/17,2394.44
12/5/17,2390.9
15/5/17,2402.32
16/5/17,2400.67
17/5/17,2357.03
18/5/17,2365.72
19/5/17,2381.73
22/5/17,2394.02
23/5/17,2398.42
24/5/17,2404.39
25/5/17,2415.07
26/5/17,2415.82
29/5/17,.
30/5/17,2412.91
31/5/17,2411.8
1/6/17,2430.06
2/6/17,2439.07
5/6/17,2436.1
6/6/17,2429.33
7/6/17,2433.14
8/6/17,2433.79
9/6/17,2431.77
12/6/17,2429.39
13/6/17,2440.35
14/6/17,2437.92
15/6/17,2432.46
16/6/17,2433.15
19/6/17,2453.46
20/6/17,2437.03
21/6/17,2435.61
22/6/17,2434.5
23/6/17,2438.3
26/6/17,2439.07
27/6/17,2419.38
28/6/17,2440.69
29/6/17,2419.7
30/6/17,2423.41
3/7/17,2429.01
4/7/17,.
5/7/17,2432.54
6/7/17,2409.75
7/7/17,2425.18
10/7/17,2427.43
11/7/17,2425.53
12/7/17,2443.25
13/7/17,2447.83
14/7/17,2459.27
17/7/17,2459.14
18/7/17,2460.61
19/7/17,2473.83
20/7/17,2473.45
21/7/17,2472.54
24/7/17,2469.91
25/7/17,2477.13
26/7/17,2477.83
27/7/17,2475.42
28/7/17,2472.1
31/7/17,2470.3
1/8/17,2476.35
2/8/17,2477.57
3/8/17,2472.16
4/8/17,2476.83
7/8/17,2480.91
8/8/17,2474.92
9/8/17,2474.02
10/8/17,2438.21
11/8/17,2441.32
14/8/17,2465.84
15/8/17,2464.61
16/8/17,2468.11
17/8/17,2430.01
18/8/17,2425.55
21/8/17,2428.37
22/8/17,2452.51
23/8/17,2444.04
24/8/17,2438.97
25/8/17,2443.05
28/8/17,2444.24
29/8/17,2446.3
30/8/17,2457.59
31/8/17,2471.65
1/9/17,2476.55
4/9/17,.
5/9/17,2457.85
6/9/17,2465.54
7/9/17,2465.1
8/9/17,2461.43
11/9/17,2488.11
12/9/17,2496.48
13/9/17,2498.37
14/9/17,2495.62
15/9/17,2500.23
18/9/17,2503.87
19/9/17,2506.65
20/9/17,2508.24
21/9/17,2500.6
22/9/17,2502.22
25/9/17,2496.66
26/9/17,2496.84
27/9/17,2507.04
28/9/17,2510.06
29/9/17,2519.36
2/10/17,2529.12
3/10/17,2534.58
4/10/17,2537.74
5/10/17,2552.07
6/10/17,2549.33
9/10/17,2544.73
10/10/17,2550.64
11/10/17,2555.24
12/10/17,2550.93
13/10/17,2553.17
16/10/17,2557.64
17/10/17,2559.36
18/10/17,2561.26
19/10/17,2562.1
20/10/17,2575.21
23/10/17,2564.98
24/10/17,2569.13
25/10/17,2557.15
26/10/17,2560.4
27/10/17,2581.07
30/10/17,2572.83
31/10/17,2575.26
1/11/17,2579.36
2/11/17,2579.85
3/11/17,2587.84
6/11/17,2591.13
7/11/17,2590.64
8/11/17,2594.38
9/11/17,2584.62
10/11/17,2582.3
13/11/17,2584.84
14/11/17,2578.87
15/11/17,2564.62
16/11/17,2585.64
17/11/17,2578.85
20/11/17,2582.14
21/11/17,2599.03
22/11/17,2597.08
23/11/17,.
24/11/17,2602.42
27/11/17,2601.42
28/11/17,2627.04
29/11/17,2626.07
30/11/17,2647.58
1/12/17,2642.22
4/12/17,2639.44
5/12/17,2629.57
6/12/17,2629.27
7/12/17,2636.98
8/12/17,2651.5
11/12/17,2659.99
12/12/17,2664.11
13/12/17,2662.85
14/12/17,2652.01
15/12/17,2675.81
18/12/17,2690.16
19/12/17,2681.47
20/12/17,2679.25
21/12/17,2684.57
22/12/17,2683.34
25/12/17,.
