id,datetime,sentiment,text,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59
8.32191E+17,16/2/17 11:34,0.449090909,Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!,stock,market,hits,new,high,with,longest,winning,streak,in,decades,great,level,of,confidence,and,optimism,-,even,before,tax,plan,rollout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.37256E+17,2/3/17 11:00,0.2,"Since November 8th, Election Day, the Stock Market has posted $3.2 trillion in GAINS and consumer confidence is at a 15 year high. Jobs!",since,november,8th,election,day,the,stock,market,has,posted,32,trillion,in,gains,and,consumer,confidence,is,at,a,15,year,high,jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.81663E+17,2/7/17 23:55,-0.42,"Stock Market at all time high, unemployment at lowest level in years (wages will start going up) and our base has never been stronger!",stock,market,at,all,time,high,unemployment,at,lowest,level,in,years,wages,will,start,going,up,and,our,base,has,never,been,stronger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.85274E+17,12/7/17 23:06,0.462424242,Stock market hits another high with spirit and enthusiasm so positive. Jobs outlook looking very good! #MAGA🇺🇸 https://t.co/Vwxsb2vWGe,stock,market,hits,another,high,with,spirit,and,enthusiasm,so,positive,jobs,outlook,looking,very,good,#maga🇺🇸,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.86259E+17,15/7/17 16:21,0.368181818,Stock Market at new all-time high! Working on new trade deals that will be great for U.S. and its workers!,stock,market,at,new,all-time,high,working,on,new,trade,deals,that,will,be,great,for,us,and,its,workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.86262E+17,15/7/17 16:30,0.29,"Stock Market hit another all-time high yesterday - despite the Russian hoax story! Also, jobs numbers are starting to look very good!",stock,market,hit,another,all-time,high,yesterday,-,despite,the,russian,hoax,story,also,jobs,numbers,are,starting,to,look,very,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.86322E+17,15/7/17 20:29,0.378787879,"Just got to the #USWomensOpen in Bedminster, New Jersey. People are really happy with record high stock market - up over 17% since election!",just,got,to,the,#uswomensopen,in,bedminster,new,jersey,people,are,really,happy,with,record,high,stock,market,-,up,over,17,since,election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.8928E+17,24/7/17 0:23,0.34375,"Thank you to @LOUDOBBS for giving the first six months of the Trump Administration an A+. S.C.,reg cutting,Stock M, jobs,border etc. = TRUE!",thank,you,to,@loudobbs,for,giving,the,first,six,months,of,the,trump,administration,an,a,screg,cuttingstock,m,jobsborder,etc,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.91344E+17,29/7/17 17:04,0,U.S. Stock Market up almost 20% since Election!,us,stock,market,up,almost,20,since,election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.91999E+17,31/7/17 12:28,0.566666667,"Highest Stock Market EVER, best economic numbers in years, unemployment lowest in 17 years, wages raising, border secure, S.C.: No WH chaos!",highest,stock,market,ever,best,economic,numbers,in,years,unemployment,lowest,in,17,years,wages,raising,border,secure,sc,no,wh,chaos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
